"","title","release_date"
"13112","Don Q Son of Zorro","1925-06-15"
"13113","Three Monkeys","2008-05-16"
"13114","Casanova '70","1965-06-15"
"13115","Bellissima","1951-12-27"
"13116","Tattooed Life","1965-11-13"
"13117","Bullfighter and the Lady","1951-04-26"
"13118","The Living Sea","1995-02-01"
"13119","The Dirty Dozen: Next Mission","1985-02-04"
"13120","The Dirty Dozen: The Deadly Mission","1987-03-01"
"13121","Wagon Master","1950-04-19"
"13122","Ring of Darkness","2004-02-28"
"13123","The Class","2008-09-24"
"13124","When Willie Comes Marching Home","1950-02-01"
"13125","Splinter","2008-10-31"
"13126","Confessions of a Superhero","2007-11-02"
"13127","The Manson Family","2003-08-18"
"13128","Kanak Attack","2000-11-16"
"13129","Australia","2008-11-18"
"13130","Bolt","2008-11-21"
"13131","Revenge of the Zombies","1943-09-17"
"13132","Milk","2008-11-26"
"13133","The Devil-Doll","1936-07-10"
"13134","Twilight","2008-11-20"
"13135","The Children","2008-12-05"
"13136","Transporter 3","2008-11-26"
"13137","Four Christmases","2008-11-26"
"13138","The Boy in the Striped Pyjamas","2008-05-07"
"13139","Surveillance","2008-02-08"
"13140","Stuff and Dough","2001-06-01"
"13141","Fireproof","2008-09-26"
"13142","Igor","2008-09-19"
"13143","The Devil's Chair","2007-09-12"
"13144","Dinotopia","2002-05-12"
"13145","Hunger","2008-05-15"
"13146","Cadillac Records","2008-12-05"
"13147","Punisher: War Zone","2008-12-05"
"13148","The Guyver","1991-01-01"
"13149","Flashbacks of a Fool","2008-10-17"
"13150","Charulata","1964-04-17"
"13151","Lady with the Dog","1960-01-28"
"13152","The Bell Boy","1918-03-18"
"13153","Shrek the Halls","2007-11-28"
"13154","The Lovers","1958-09-05"
"13155","The Blue Light","1932-03-24"
"13156","The Pervert's Guide to Cinema","2006-10-06"
"13157","Hospital","1970-02-01"
"13158","Women of the Night","1948-05-26"
"13159","A Matter of Loaf and Death","2008-12-03"
"13160","Ace of Hearts","2008-05-06"
"13161","A Friend of Mine","2006-10-05"
"13162","The Long Night","1947-05-28"
"13163","Fools' Parade","1971-08-18"
"13164","Gypsy","1993-12-12"
"13165","Malaya","1949-12-27"
"13166","Ninja III: The Domination","1984-09-14"
"13167","Body of War","2007-09-11"
"13168","The Sun Shines Bright","1953-05-02"
"13169","Four Men and a Prayer","1938-04-29"
"13170","A Man Named Pearl","2006-10-20"
"13171","Dallas - War of The Ewings","1998-04-23"
"13172","Much Ado About Something","2001-09-08"
"13173","The Day the Earth Stood Still","2008-12-10"
"13174","Che: Part One","2008-09-05"
"13175","Che: Part Two","2009-01-24"
"13176","Starship Troopers 3: Marauder","2008-07-19"
"13177","Dean Spanley","2008-12-12"
"13178","I Am the Law","1938-08-25"
"13179","Boomerang!","1947-02-28"
"13180","Patterns","1956-03-27"
"13181","Nothing Like the Holidays","2008-12-12"
"13182","The Climax","1944-10-20"
"13183","The Strange Door","1951-06-21"
"13184","Pandora's Box","2008-09-06"
"13185","Doubt","2008-11-27"
"13186","Cyborg She","2008-05-31"
"13187","The Forgotten One","1989-09-27"
"13188","Gran Torino","2008-12-09"
"13189","Frost/Nixon","2008-10-15"
"13190","The Reader","2008-12-10"
"13191","The Wrecking Crew","1968-12-30"
"13192","Rab Ne Bana Di Jodi","2008-12-11"
"13193","Delgo","2008-12-12"
"13194","Room of Death","2007-11-14"
"13195","Waiter","2006-09-28"
"13196","Sword of the Stranger","2007-09-29"
"13197","I've Loved You So Long","2008-03-19"
"13198","Jesus is a Palestinian","1999-04-17"
"13199","Seven Pounds","2008-12-18"
"13200","Meltdown: Days of Destruction","2006-02-27"
"13201","Pin","1988-11-25"
"13202","Love","2005-04-21"
"13203","The Animal Kingdom","1932-12-28"
"13204","Andromeda Nebula","1967-12-04"
"13205","The Wrestler","2008-09-07"
"13206","The Memory Keeper's Daughter","2008-04-12"
"13207","The Little Giant","1933-05-20"
"13208","Mr. Wu","1927-03-26"
"13209","A Chinese Ghost Story II","1990-07-13"
"13210","Why We Fight: The Nazis Strike","1943-01-01"
"13211","Why We Fight: The Battle of Britain","1943-10-10"
"13212","Small Cuts","2003-02-12"
"13213","Arabian Nights","1942-12-25"
"13214","The Blackbird","1926-01-11"
"13215","Why We Fight: The Battle of Russia","1943-01-01"
"13216","The More the Merrier","1943-03-26"
"13217","Tuya's Marriage","2006-09-21"
"13218","Face of a Fugitive","1959-05-01"
"13219","The Dirty Dozen: The Fatal Mission","1988-02-14"
"13220","The Curious Case of Benjamin Button","2008-11-24"
"13221","Why We Fight: Divide and Conquer","1943-01-01"
"13222","Yes Man","2008-12-09"
"13223","Hexed","1993-01-22"
"13224","On the Rumba River","2007-09-01"
"13225","Valkyrie","2008-12-25"
"13226","Birds of America","2008-10-09"
"13227","Pete Seeger: The Power of Song","2007-09-14"
"13228","5 Centimeters per Second","2007-03-03"
"13229","H.G. Wells' War of the Worlds","2005-06-28"
"13230","War of the Worlds 2: The Next Wave","2008-01-01"
"13231","Constantine's Sword","2008-04-18"
"13232","Impulse","2008-04-15"
"13233","Zamfir's Zona","2002-10-31"
"13234","Double Dynamite","1951-12-25"
"13235","The Death Kiss","1932-12-05"
"13236","Girls Rock!","2008-03-07"
"13237","Ben X","2007-08-26"
"13238","Alien Raiders","2008-09-21"
"13239","Trainwreck: My Life as an Idiot","2007-06-14"
"13240","The King of Ping Pong","2008-01-18"
"13241","Jane Austen in Manhattan","1980-07-01"
"13242","Bedtime Stories","2008-12-24"
"13243","Manhattan Melodrama","1934-05-04"
"13244","Two Days","2003-05-01"
"13245","Choke","2008-09-26"
"13246","Revolutionary Road","2008-12-19"
"13247","Blackadder Back & Forth","1999-12-06"
"13248","Blackadder's Christmas Carol","1988-01-01"
"13249","Loft","2008-10-21"
"13250","Surfer, Dude","2008-09-05"
"13251","Magnificent 7","2005-12-13"
"13252","Nobel Son","2007-04-28"
"13253","Dear Zachary: A Letter to a Son About His Father","2008-10-31"
"13254","Wild Child","2008-01-01"
"13255","Chandu the Magician","1932-09-18"
"13256","Defiance","2008-12-31"
"13257","Zeitgeist: Addendum","2008-10-02"
"13258","Dr. Jack","1922-11-26"
"13259","Marley & Me","2008-12-25"
"13260","The Grocer's Son","2007-06-15"
"13261","Decoy","1946-09-14"
"13262","Blackout","2008-12-26"
"13263","Jesse Stone: Night Passage","2006-01-15"
"13264","Involuntary","2008-11-28"
"13265","Ponyo","2008-07-19"
"13266","High and Dizzy","1920-07-11"
"13267","Now or Never","1921-03-27"
"13268","The Good Guys and the Bad Guys","1969-11-19"
"13269","Six in Paris","1965-05-19"
"13270","Shadow Company","2006-03-01"
"13271","Satan Met a Lady","1936-07-22"
"13272","Jack Brooks: Monster Slayer","2007-10-09"
"13273","The Vanishing Point","2007-11-28"
"13274","Poultrygeist: Night of the Chicken Dead","2006-12-26"
"13275","Young Gods","2003-10-24"
"13276","The General Died at Dawn","1936-09-02"
"13277","Have Rocket, Will Travel","1959-08-01"
"13278","The House of Sand","2005-05-13"
"13279","Earthsea","2004-12-13"
"13280","Brotherhood of Death","1976-09-14"
"13281","Man with the Gun","1955-11-05"
"13282","American Ninja 4: The Annihilation","1990-10-30"
"13283","Wendy and Lucy","2008-05-22"
"13284","Open Season 2","2008-09-24"
"13285","Last Chance Harvey","2008-12-25"
"13286","Dallas","1950-12-30"
"13287","Ip Man","2008-12-12"
"13288","The Dungeonmaster","1984-08-24"
"13289","Howling V: The Rebirth","1989-01-01"
"13290","The Young Visiters","2003-12-26"
"13291","Replicant","2001-05-11"
"13292","The Duel at Silver Creek","1952-08-01"
"13293","The Recruiter","2008-01-18"
"13294","Habana Blues","2005-03-18"
"13295","Why We Fight: The Battle of China","1944-01-01"
"13296","Passengers","2008-09-26"
"13297","The Tale of Despereaux","2008-12-19"
"13298","Bride Wars","2009-01-09"
"13299","The Gamers: Dorkness Rising","2008-01-01"
"13300","Mesrine: Killer Instinct","2008-10-22"
"13301","My Bloody Valentine","2009-01-16"
"13302","Blood and Bones","2004-11-06"
"13303","Castaway","1986-03-05"
"13304","Island in the Sun","1957-06-12"
"13305","Liberty Kid","2007-06-17"
"13306","De fûke","2000-04-20"
"13307","Battle in Seattle","2007-09-07"
"13308","Fuel","2009-01-01"
"13309","Aspen","1991-01-01"
"13310","Model","1980-06-02"
"13311","Timecrimes","2007-09-20"
"13312","Fire and Ice: The Dragon Chronicles","2008-09-18"
"13313","The Secret of the Grain","2007-12-24"
"13314","Hamlet","2000-12-10"
"13315","Punk's Not Dead","2007-07-27"
"13316","The Welts","2004-10-08"
"13317","Grbavica: The Land of My Dreams","2006-03-01"
"13318","Underworld: Rise of the Lycans","2009-01-22"
"13319","Inkheart","2008-12-11"
"13320","Gun The Man Down","1956-11-15"
"13321","Albuquerque","1948-02-20"
"13322","Why We Fight: War Comes to America","1945-06-14"
"13323","John Waters: This Filthy World","2006-11-24"
"13324","The Soviet Story","2008-01-01"
"13325","Shoot on Sight","2008-08-22"
"13326","The Alphabet Killer","2008-11-07"
"13327","Revenge of the Nerds III: The Next Generation","1992-06-10"
"13328","Revenge of the Nerds IV: Nerds In Love","1994-05-09"
"13329","Soup to Nuts","1930-09-28"
"13330","Chinese Coffee","2000-09-02"
"13331","Save Me","2007-01-01"
"13332","The Lazarus Project","2008-10-21"
"13333","The Man","1972-07-19"
"13334","Galaxy Express 999","1979-08-04"
"13335","Paul Blart: Mall Cop","2009-01-15"
"13336","Notorious","2009-01-16"
"13337","The Unborn","2009-01-09"
"13338","Donkey Punch","2008-07-18"
"13339","Where Is Fred?","2006-11-15"
"13340","Make It Happen","2008-08-08"
"13341","Three Strangers","1946-01-28"
"13342","Repo! The Genetic Opera","2008-07-18"
"13343","Edge of Madness","2002-01-01"
"13344","The Uninvited","2009-01-30"
"13345","Fear(s) of the Dark","2008-01-01"
"13346","12:01","1993-07-05"
"13347","Game Over","2005-08-26"
"13348","Maria","2003-11-21"
"13349","Night Train","2009-04-15"
"13350","The Big Stampede","1932-10-08"
"13351","Blue","1968-05-09"
"13352","The Visitor","2008-12-08"
"13353","Kummeli Goldrush","1997-12-05"
"13354","Shadow of the Holy Book","2007-11-24"
"13355","Outlander","2008-04-24"
"13356","Belle of the Nineties","1934-09-21"
"13357","Branded","1950-11-03"
"13358","A Dead Calling","2006-12-12"
"13359","Beachhead","1954-02-05"
"13360","Los signos del zodiaco","1964-02-26"
"13361","Passchendaele","2008-10-17"
"13362","The Great Ecstasy of Woodcarver Steiner","1974-01-01"
"13363","Go Go Tales","2007-05-23"
"13364","Wrestling with Alligators","1998-01-18"
"13365","The Badlanders","1958-09-03"
"13366","Black Widow","1954-10-28"
"13367","Bad Luck Love","2000-05-26"
"13368","The Grudge 3","2009-05-12"
"13369","Indictment: The McMartin Trial","1995-01-01"
"13370","Eden Lake","2008-09-12"
"13371","Triumph of the Nerds: The Rise of Accidental Empires","1996-06-22"
"13372","Coraline","2009-02-05"
"13373","Psychomania","1973-01-05"
"13374","Point of Order!","1964-01-14"
"13375","Chocolate","2008-02-06"
"13376","Blackout","2008-12-26"
"13377","TerrorVision","1986-02-14"
"13378","The Escapist","2008-06-20"
"13379","Push","2009-02-06"
"13380","The International","2009-02-03"
"13381","Two Lovers","2008-11-19"
"13382","He's Just Not That Into You","2009-02-06"
"13383","Jar City","2006-10-20"
"13384","Dead Like Me: Life After Death","2009-02-17"
"13385","Uuno Turhapuro","1973-08-24"
"13386","California","1947-02-21"
"13387","Canyon Passage","1946-07-17"
"13388","The Con","1998-03-04"
"13389","Husbands","1970-12-08"
"13390","The Cimarron Kid","1952-01-13"
"13391","The Avenging Conscience: or 'Thou Shalt Not Kill'","1914-08-02"
"13392","Singapore Sling","1990-09-13"
"13393","33 Scenes from Life","2008-11-07"
"13394","Futurama: Into the Wild Green Yonder","2009-02-23"
"13395","The Bandit","1996-11-29"
"13396","Hotel for Dogs","2009-01-16"
"13397","The Deadly Trackers","1973-12-21"
"13398","Frontier(s)","2007-07-01"
"13399","Comet in Moominland","1992-08-08"
"13400","The 11th Hour","2007-08-17"
"13401","Daddy","1995-12-14"
"13402","Fireflies in the Garden","2008-02-10"
"13403","Afro Samurai: Resurrection","2009-01-25"
"13404","Café Lumière","2004-09-01"
"13405","Death by Hanging","1968-02-02"
"13406","The Last Movie","1971-09-29"
"13407","Dry Season","2006-09-01"
"13408","Jesus Christ Superstar","2000-10-16"
"13409","Trancers","1984-11-07"
"13410","The Man Who Quit Smoking","1972-12-16"
"13411","Departures","2008-09-13"
"13412","Taking Chance","2009-09-21"
"13413","AmericanEast","2008-11-14"
"13414","My Name Is Bruce","2007-10-01"
"13415","Man in the Chair","2007-01-27"
"13416","Robinson in Space","1997-01-10"
"13417","The Way of War","2009-02-20"
"13418","Kimberly","2000-11-07"
"13419","Ralliraita","2009-06-16"
"13420","Ping Pong Playa","2007-01-01"
"13421","Funny People","2009-07-31"
"13422","Berlin Calling","2008-10-01"
"13423","Against the Dark","2009-01-01"
"13424","The Letter for the King","2008-07-16"
"13425","Firepower","1979-04-27"
"13426","Nuremberg","2000-07-16"
"13427","Bigger Than Life","1956-08-02"
"13428","Going to Kansas City","1998-07-31"
"13429","Red Sands","2009-02-24"
"13430","Show Me","2004-09-23"
"13431","The Lost","2009-01-01"
"13432","Still Waiting...","2009-02-17"
"13433","Pistol Whipped","2008-03-04"
"13434","Flight of Fury","2007-02-20"
"13435","The Far Horizons","1955-05-20"
"13436","Container","2006-03-10"
"13437","Mystery Team","2009-08-28"
"13438","Killer Babes","2007-12-20"
"13439","A World Without Thieves","2004-12-09"
"13440","The Gunfight at Dodge City","1959-05-01"
"13441","His Private Secretary","1933-06-10"
"13442","Street Fighter: The Legend of Chun-Li","2009-02-27"
"13443","Urban Justice","2007-01-01"
"13444","Tough Enough","2006-03-09"
"13445","Madea Goes to Jail","2009-02-16"
"13446","The Black Watch","1929-05-22"
"13447","Away We Go","2009-06-05"
"13448","Hell to Eternity","1960-08-01"
"13449","The Unsuspected","1947-10-11"
"13450","Thick as Thieves","2009-01-09"
"13451","Beautiful Ohio","2006-11-10"
"13452","Il Grido","1957-06-22"
"13453","The Big Lift","1950-04-26"
"13454","Il Divo","2008-05-23"
"13455","Wings","1966-01-01"
"13456","Paris","2008-01-19"
"13457","Adrift in Manhattan","2007-01-10"
"13458","Friday the 13th","2009-02-11"
"13459","The Good, The Bad, The Weird","2008-07-16"
"13460","Screamers: The Hunting","2009-02-17"
"13461","The Pink Panther 2","2009-02-06"
"13462","Crips and Bloods: Made in America","2008-01-01"
"13463","Far Cry","2008-01-01"
"13464","I Manegen med Glenn Killing: Live från Berns","1995-09-30"
"13465","The English Surgeon","2009-07-24"
"13466","A Hell of a Day","2001-10-24"
"13467","Shara","2003-01-01"
"13468","Marius","1931-10-09"
"13469","The Adventures of Food Boy","2008-01-01"
"13470","César","1936-01-01"
"13471","They Wait","2007-09-06"
"13472","The Rebel","2007-04-27"
"13473","Everlasting Moments","2008-09-24"
"13474","Expecting Love","2008-02-29"
"13475","Attack Force","2006-12-05"
"13476","Shadow Man","2006-09-06"
"13477","Playing for Keeps","1986-10-03"
"13478","Rock-A-Doodle","1991-08-02"
"13479","Tokyo.sora","2002-10-26"
"13480","Dead Silent","1999-01-01"
"13481","Dr. Horrible's Sing-Along Blog","2008-07-15"
"13482","Today You Die","2005-09-13"
"13483","The Cottage","2008-02-07"
"13484","Two Men in Manhattan","1959-10-16"
"13485","Fanny","1932-11-02"
"13486","Out At The Wedding","2007-01-01"
"13487","Born to the West","1937-12-10"
"13488","The Hasty Heart","1949-12-02"
"13489","Frontrunners","2008-10-15"
"13490","The Quick and the Dead","1987-02-28"
"13491","Joshua Tree","1993-08-04"
"13492","Day of the Dead","2008-04-08"
"13493","I Love You, Man","2009-03-20"
"13494","The Big Steal","1949-07-09"
"13495","Billy Budd","1962-11-12"
"13496","Night Has a Thousand Eyes","1948-10-13"
"13497","Live Free or Die","2006-03-11"
"13498","Blonde Venus","1932-09-09"
"13499","Dance of the Dead","2008-10-14"
"13500","The Haunting in Connecticut","2009-03-27"
"13501","The Little Engine That Could","1991-01-01"
"13502","Duplicity","2009-03-19"
"13503","Knowing","2009-03-19"
"13504","Sugar","2009-04-03"
"13505","Young Thugs: Nostalgia","1998-09-26"
"13506","Praying With Lior","2008-06-17"
"13507","Ong Bak 2","2008-12-04"
"13508","The Girl with the Dragon Tattoo","2009-02-27"
"13509","Bloodbath at the House of Death","1984-03-29"
"13510","Sunshine Cleaning","2008-01-18"
"13511","Kung Fu Panda: Secrets of the Furious Five","2008-11-08"
"13512","Hangman's Knot","1952-11-15"
"13513","Immortal Sergeant","1943-04-29"
"13514","Nigdy w życiu!","2004-02-13"
"13515","The Children of Leningradsky","2005-08-05"
"13516","Submerged","2005-05-06"
"13517","Stacy: Attack of the Schoolgirl Zombies","2001-08-18"
"13518","Insanitarium","2008-07-15"
"13519","Illegal","1955-10-28"
"13520","Echelon Conspiracy","2009-02-27"
"13521","Jasminum","2006-06-29"
"13522","After Sex","2007-09-26"
"13523","The Third Part of the Night","1971-12-17"
"13524","13B: Fear Has a New Address","2009-03-06"
"13525","Monsters vs Aliens","2009-03-19"
"13526","Boarding Gate","2007-05-18"
"13527","California Dreamin'","2007-06-01"
"13528","Counter Investigation","2007-03-07"
"13529","Sita Sings the Blues","2008-02-11"
"13530","Naked Fear","2007-04-01"
"13531","Chaos","2005-08-10"
"13532","Three on a Match","1932-10-29"
"13533","Kogel-mogel","1988-08-15"
"13534","Land of Silence and Darkness","1971-10-08"
"13535","The Baader Meinhof Complex","2008-09-24"
